01-02 08:00:04 Miner M50VH80(V226-5D), MAC:CC:04:1A:00:62:45, version:20230911.12.Rel, PowerHw:RT0147, PowerSw:230224.230809, PowerSn:1436B2321600541 PCB0:BHM32X6F843721X43003 PCB1:BHM32X6F843721X43113 PCB2:BHM32X6F843721X44252
01-02 08:00:07 Code<error>[2010]: reason: All pools disabled for 2s, please check the network or pools configure.
00-02-08 hs0,freq0,bt0,ct0|hs1,freq1,bt1,ct1|...|fan0,fan1|env temp|cpu temp,cpu rate,mem|vout,pin,vin
00:31 0.0,0,21,0|0.0,0,16,0|0.0,0,16,0|780,900|5|16, 2,162|0,8,230
11-21-03 hs0,freq0,bt0,ct0|hs1,freq1,bt1,ct1|...|fan0,fan1|env temp|cpu temp,cpu rate,mem|vout,pin,vin
39:55 42.2,613,74,91|41.4,610,68,83|41.3,605,68,83|3150,3090|6|19, 2,127|1256,3700,227
12-21 04:40:05 Code<error>[217]: reason: Power set enable error. set: 1, get: 0
12-21 04:40:05 Code<error>[205]: reason: Power output current error, iout now: 0.00A, last: 282.01A
40:25 27.8,613,70,91|27.4,610,65,83|27.3,605,65,83|600,630|7|17, 2,127|0,9,229
40:56 6.7,613,67,91|6.7,610,62,83|6.7,605,63,83|0,0|7|18, 2,127|0,6,229
41:26 0.0,613,63,91|0.0,610,58,83|0.0,605,59,83|570,420|9|19, 4,127|0,10,229
41:56 0.0,613,58,91|0.0,610,54,83|0.0,605,55,83|0,0|9|20, 0,127|0,6,230
42:21 0.0,0,55,0|0.0,0,51,0|0.0,0,51,0|1620,1800|9|18, 0,154|0,13,230
12-21 04:42:21 Restart btminer as as No btminer
42:26 0.0,0,53,0|0.0,0,50,0|0.0,0,50,0|2580,2580|9|20, 0,152|0,18,230
42:56 0.0,0,33,0|0.0,0,29,0|0.0,0,27,0|7650,7650|7|19, 9,135|1173,212,230
43:27 0.7,324,34,41|0.5,324,30,36|0.7,324,29,35|930,960|7|20,15,134|1252,1842,229
43:57 4.3,462,40,53|3.5,462,36,49|4.3,462,35,48|420,450|7|21, 7,134|1252,2656,228
44:27 11.9,570,51,72|9.4,570,48,69|11.6,570,46,68|570,600|7|21,19,133|1253,3352,228
44:57 22.8,604,64,89|20.8,604,62,87|22.4,602,61,85|2280,2280|8|22,15,133|1252,3728,228
45:28 16.7,603,72,91|16.7,602,70,86|16.7,599,67,85|4350,4350|8|22,26,131|1252,3720,228
45:58 4.8,618,73,90|4.7,615,69,84|4.5,610,67,83|3300,3300|8|22,20,130|1252,3720,228
46:28 4.9,619,73,91|4.7,616,69,84|4.3,609,68,84|3300,3240|8|22,20,128|1253,3720,227
46:58 4.9,617,74,91|16.6,615,69,84|5.0,606,68,84|3300,3390|8|22,26,127|1252,3712,227
12-21 04:47:09 Code<warn>[212]: reason: Power vout error, reach vout border, vout: 1252, border: [1252, 1400]
47:29 42.4,617,73,91|41.3,612,69,84|41.1,604,68,84|3300,3270|8|20, 2,127|1252,3696,228
47:59 42.5,617,73,91|41.2,612,69,84|41.1,604,68,84|3180,3150|7|19, 6,127|1253,3696,228
48:29 42.4,617,74,91|41.3,612,69,84|41.2,604,69,84|3150,3180|7|19, 2,127|1254,3708,228
48:59 42.2,617,73,91|41.5,612,69,84|41.3,604,69,84|3120,3180|7|19, 4,127|1255,3708,228
49:29 42.4,617,74,91|41.7,612,69,84|41.3,604,69,85|3240,3240|7|19, 4,127|1254,3716,228
49:59 42.5,617,73,91|41.7,612,69,84|41.3,604,69,84|3420,3360|7|19, 6,126|1256,3728,228
50:29 42.4,617,74,91|41.9,612,69,84|41.5,604,69,85|3210,3270|7|19, 4,127|1256,3732,228
51:00 42.4,617,74,91|41.9,612,69,84|41.6,604,69,85|3390,3300|7|19, 6,127|1254,3720,228
51:30 42.4,617,73,91|41.6,612,69,84|41.5,604,69,85|3180,3240|8|19, 2,127|1254,3712,228
52:00 42.2,617,73,91|41.5,612,69,84|41.4,604,69,85|3330,3270|7|20, 2,127|1254,3712,228
52:30 42.3,617,74,91|41.6,612,69,84|41.3,604,69,85|3210,3180|7|19, 4,127|1255,3712,228
53:00 42.4,617,74,91|41.5,612,69,84|41.3,604,69,85|3420,3420|8|20, 6,127|1254,3724,228
53:30 42.5,617,73,91|41.6,612,69,84|41.4,604,68,84|3210,3270|7|19, 4,127|1255,3712,228
54:01 42.3,617,73,91|41.7,612,69,84|41.5,604,68,84|3240,3270|7|20, 4,127|1254,3712,228
54:31 42.4,617,74,91|41.7,612,69,84|41.4,604,68,84|3390,3390|7|18, 2,127|1254,3720,228
55:01 42.5,617,74,91|41.5,612,69,84|41.3,604,69,84|3120,3120|7|19, 6,127|1254,3712,228
55:31 42.6,617,74,91|41.4,612,69,84|41.3,604,68,84|3300,3360|7|19, 4,127|1254,3712,228
56:01 42.5,617,73,91|41.6,612,68,83|41.2,604,68,84|3150,3150|7|19,10,127|1255,3708,228
56:32 42.4,617,73,91|41.7,612,69,83|41.3,604,68,84|3180,3150|7|19, 6,126|1254,3708,228
57:02 42.4,617,74,91|41.7,612,69,84|41.4,604,69,84|3300,3330|7|18, 4,127|1254,3716,228
57:32 42.3,617,73,91|41.5,612,69,83|41.5,604,69,84|3210,3240|7|19, 0,127|1254,3712,229
58:02 42.4,617,74,91|41.4,612,69,84|41.4,604,69,84|3210,3270|7|18, 4,127|1254,3716,228
58:32 42.3,617,74,91|41.7,612,69,84|41.5,604,69,85|3210,3270|7|19, 0,126|1253,3708,228
59:02 42.4,617,74,91|41.7,612,69,84|41.6,604,68,84|3420,3480|7|19, 6,127|1253,3716,228
59:32 42.6,617,73,91|41.4,612,68,83|41.3,604,67,83|3630,3570|7|19, 4,127|1253,3704,228
11-21-05 hs0,freq0,bt0,ct0|hs1,freq1,bt1,ct1|...|fan0,fan1|env temp|cpu temp,cpu rate,mem|vout,pin,vin
00:03 42.5,617,73,91|41.1,612,68,82|41.1,604,67,83|3240,3180|7|20, 2,127|1254,3700,228
00:33 42.4,617,74,91|41.1,612,68,83|41.0,604,67,83|3240,3210|7|19, 6,127|1254,3708,229
01:03 42.4,617,74,91|41.3,612,68,83|41.1,604,68,83|3240,3210|7|20, 2,127|1254,3712,229
01:33 42.3,617,73,91|41.5,612,68,83|41.4,604,68,83|3270,3240|7|19, 4,126|1254,3708,228
02:03 42.4,617,74,91|41.7,612,68,83|41.4,604,68,84|3300,3300|7|19, 2,126|1254,3712,229
02:33 42.4,617,73,91|41.6,612,68,83|41.3,604,68,83|3120,3120|7|18, 4,126|1253,3700,228
03:04 42.4,617,74,91|41.5,612,69,83|41.1,604,68,84|3180,3150|7|18, 2,126|1253,3704,229
03:34 42.4,617,74,91|41.4,612,69,83|41.1,604,68,84|3150,3150|6|18, 6,126|1253,3704,229
04:04 42.3,617,73,91|41.4,612,69,83|41.3,604,68,84|3240,3180|6|18, 2,126|1254,3708,229
04:34 42.4,617,73,91|41.5,612,69,83|41.2,604,68,84|3120,3120|6|19, 2,126|1254,3704,229
05:04 42.4,617,74,91|41.4,612,69,84|41.2,604,69,84|3270,3120|7|18, 4,126|1254,3712,229
05:34 42.3,617,74,91|41.5,612,69,84|41.5,604,68,84|3450,3390|7|19, 2,126|1254,3720,229
06:05 42.2,617,74,91|41.8,612,69,84|41.4,604,68,84|3330,3360|7|18, 2,126|1254,3716,229
06:35 42.4,617,74,92|41.7,612,68,83|41.3,604,67,83|3840,3870|8|18, 2,126|1254,3728,229
07:05 42.4,617,73,91|41.5,612,67,82|41.0,604,66,81|3150,3210|8|20, 2,126|1254,3700,229
07:35 42.5,617,74,91|41.4,612,68,83|40.9,604,66,82|3420,3360|7|19, 6,126|1256,3716,229
